time(s),Signal (V)
0.0,0.00018124999542123987
2.4999999292951713e-10,0.00010624999731589924
4.999999858590343e-10,9.062499771061994e-05
7.499999787885514e-10,0.00016249999589490471
9.999999717180685e-10,4.843749877636583e-05
1.2499999646475857e-09,0.0001359374965659299
1.4999999575771028e-09,0.00018593749530282366
1.74999995050662e-09,0.00011249999715801096
1.999999943436137e-09,0.00019531249506599124
2.2499999363656542e-09,9.999999747378752e-05
2.4999999292951713e-09,0.00011406249711853889
2.7499999222246885e-09,0.0002249999943160219
2.9999999151542056e-09,5.781249853953341e-05
3.2499999080837227e-09,0.00016249999589490471
3.49999990101324e-09,0.00027343749309238774
3.749999893942757e-09,0.00025312499360552465
3.999999886872274e-09,0.000379687490408287
4.249999879801791e-09,0.0004437499887899321
4.4999998727313084e-09,0.0007109374820402081
4.7499998656608255e-09,0.0010656249730800482
4.999999858590343e-09,0.0012109374694091457
5.24999985151986e-09,0.001807812454330815
5.499999844449377e-09,0.002792187429463411
5.749999837378894e-09,0.003974999899583054
5.999999830308411e-09,0.005749999854742783
6.249999823237928e-09,0.008028124797192504
6.4999998161674455e-09,0.01115624971816942
6.749999809096963e-09,0.014979687121581264
6.99999980202648e-09,0.01801718704484756
7.249999794955997e-09,0.021439061958403727
7.499999787885514e-09,0.02564218685222386
7.749999780815031e-09,0.028446874281371493
7.999999773744548e-09,0.03155156170294049
8.249999766674065e-09,0.033503124153639874
8.499999759603583e-09,0.03672656157220899
8.7499997525331e-09,0.037132811561946255
8.999999745462617e-09,0.037193749060406844
9.249999738392134e-09,0.03765937404864417
9.499999731321651e-09,0.03750156155263085
9.749999724251168e-09,0.03803749903909193
9.999999717180685e-09,0.037745311546473204
1.0249999710110202e-08,0.03863281152405307
1.049999970303972e-08,0.0408218739687527
1.0749999695969237e-08,0.0425843739242282
1.0999999688898754e-08,0.04375781139458468
1.1249999681828271e-08,0.044598436373348704
1.1499999674757788e-08,0.045684373845915616
1.1749999667687305e-08,0.04692812381449585
1.1999999660616822e-08,0.04604218633687651
1.224999965354634e-08,0.04622656133221881
1.2499999646475857e-08,0.04550937385033649
1.2749999639405374e-08,0.043268748906939436
1.2999999632334891e-08,0.04101718646381869
1.3249999625264408e-08,0.03769531154773631
1.3499999618193925e-08,0.03524062410974693
1.3749999611123442e-08,0.03379843664617965
1.399999960405296e-08,0.03080468672180814
1.4249999596982477e-08,0.029487499255083094
1.4499999589911994e-08,0.027109374315159585
1.4749999582841511e-08,0.026393749333237793
1.4999999575771028e-08,0.02443281188277524
1.5249999568700545e-08,0.02369999940128764
1.5499999561630062e-08,0.022559374430102253
1.574999955455958e-08,0.021312499461600964
1.5999999547489097e-08,0.019501562007349094
1.6249999540418614e-08,0.018374999535808456
1.649999953334813e-08,0.01564843710468722
1.6749999526277648e-08,0.013578124656987711
1.6999999519207165e-08,0.011914062199025466
1.7249999512136682e-08,0.011242187215998456
1.74999995050662e-08,0.009920312249391827
1.7749999497995717e-08,0.009062499771061994
1.7999999490925234e-08,0.009189062267864756
1.824999948385475e-08,0.008804687277574885
1.8499999476784268e-08,0.008417187287363959
1.8749999469713785e-08,0.009053124771298826
1.8999999462643302e-08,0.007931249799639772
1.924999945557282e-08,0.00928437476545696
1.9499999448502336e-08,0.009145312268969974
1.9749999441431854e-08,0.008837499776745972
1.999999943436137e-08,0.008787499778009078
2.0249999427290888e-08,0.008139062294389987
2.0499999420220405e-08,0.007867187301258127
2.0749999413149922e-08,0.007765624803823812
2.099999940607944e-08,0.007370312313810246
2.1249999399008956e-08,0.00791093730015291
2.1499999391938474e-08,0.007389062313336582
2.174999938486799e-08,0.007860937301416016
2.1999999377797508e-08,0.00804687479671884
2.2249999370727025e-08,0.007860937301416016
2.2499999363656542e-08,0.007989062298179306
2.274999935658606e-08,0.008556249783850944
2.2999999349515576e-08,0.007868749801218655
2.3249999342445093e-08,0.007987499798218778
2.349999933537461e-08,0.0077937498031133146
2.3749999328304128e-08,0.007806249802797538
2.3999999321233645e-08,0.007117187320204722
2.4249999314163162e-08,0.0064984373358356615
2.449999930709268e-08,0.005845312352334987
2.4749999300022196e-08,0.005528124860347817
2.4999999292951713e-08,0.005285937366465988
2.524999928588123e-08,0.004945312375070899
2.5499999278810748e-08,0.004387499889162427
2.5749999271740265e-08,0.004709374881031182
2.5999999264669782e-08,0.0043609373898334525
2.62499992575993e-08,0.0040484373977278665
2.6499999250528816e-08,0.003773437404674951
2.6749999243458333e-08,0.003499999911582563
2.699999923638785e-08,0.0031328124208584995
2.7249999229317368e-08,0.002696874931871207
2.7499999222246885e-08,0.0025374999358973582
2.7749999215176402e-08,0.002339062440910311
2.799999920810592e-08,0.0020624999478968675
2.8249999201035436e-08,0.0015296874613568434
2.8499999193964953e-08,0.0012453124685407602
2.874999918689447e-08,0.001184374970080171
2.8999999179823988e-08,0.000848437478566666
2.9249999172753505e-08,0.000892187477461448
2.9499999165683022e-08,0.0010124999744220986
2.974999915861254e-08,0.0011421874711459168
2.9999999151542056e-08,0.0011749999703170033
3.024999914447157e-08,0.0010843749726063834
3.049999913740109e-08,0.0011203124716985258
3.074999913033061e-08,0.0011859374700406988
3.0999999123260125e-08,0.0008874999775798642
3.124999911618964e-08,0.0009281249765535904
3.149999910911916e-08,0.0010343749738694896
3.1749999102048676e-08,0.0009874999750536517
