time(s),Signal (V)
0.0,2.031249948686309e-05
4.999999858590343e-10,9.37499976316758e-06
9.999999717180683e-10,-2.656249932897481e-05
1.4999999575771026e-09,3.12499992105586e-05
1.999999943436137e-09,3.281249917108653e-05
2.4999999292951713e-09,-2.031249948686309e-05
2.999999915154205e-09,9.37499976316758e-06
3.4999999010132403e-09,8.749999778956408e-05
3.999999886872274e-09,0.0002031249948686
4.4999998727313084e-09,0.0003593749909214
4.999999858590343e-09,0.0006687499831059
5.499999844449377e-09,0.001456249963212
5.999999830308411e-09,0.0028109374289897
6.499999816167445e-09,0.0060203123479141
6.9999998020264806e-09,0.0092781247656148
7.499999787885514e-09,0.0131703121672899
7.999999773744548e-09,0.017204687065373
8.499999759603583e-09,0.0208093744743109
8.999999745462617e-09,0.0228671869223262
9.499999731321653e-09,0.0242453118875118
9.999999717180684e-09,0.0255218743552632
1.0499999703039721e-08,0.0274281243071072
1.0999999688898754e-08,0.029792186747386
1.1499999674757788e-08,0.031417186706335
1.1999999660616822e-08,0.0341359366376536
1.2499999646475857e-08,0.0350796866138125
1.2999999632334893e-08,0.0350937491134573
1.3499999618193924e-08,0.0338187491456665
1.3999999604052961e-08,0.0339390616426271
1.4499999589911994e-08,0.0327890616716786
1.4999999575771028e-08,0.0320468741904278
1.5499999561630062e-08,0.0313406242082692
1.5999999547489097e-08,0.0313749992074008
1.649999953334813e-08,0.0300281242414257
1.6999999519207165e-08,0.0278421867966471
1.74999995050662e-08,0.0264999993305536
1.7999999490925234e-08,0.026237499337185
1.8499999476784268e-08,0.0261437493395533
1.8999999462643306e-08,0.0251953118635128
1.9499999448502336e-08,0.0252546868620129
1.999999943436137e-08,0.024701561875986
2.0499999420220405e-08,0.0244687493818673
2.0999999406079443e-08,0.0233156244109977
2.1499999391938477e-08,0.0231999994139187
2.1999999377797508e-08,0.0230140619186158
2.2499999363656545e-08,0.022910936921221
2.2999999349515576e-08,0.0227468744253656
2.349999933537461e-08,0.0225374994306548
2.3999999321233645e-08,0.0224609369325889
2.4499999307092682e-08,0.021570311955088
2.4999999292951717e-08,0.0202749994878104
2.5499999278810748e-08,0.0202874994874946
2.5999999264669785e-08,0.0207109369767977
2.6499999250528816e-08,0.0199937494949153
2.6999999236387854e-08,0.0182499995389662
2.7499999222246885e-08,0.0181421870416897
2.7999999208105922e-08,0.0185828120305586
2.8499999193964957e-08,0.0181203120422424
2.8999999179823988e-08,0.0161640620916614
2.9499999165683025e-08,0.0161874995910693
2.9999999151542056e-08,0.0162609370892141
3.049999913740109e-08,0.0166281245799382
3.0999999123260125e-08,0.014937499622647
3.1499999109119166e-08,0.0147609371271073
3.199999909497819e-08,0.014437499635278
3.2499999080837234e-08,0.0147531246273047
3.299999906669626e-08,0.0137968746514616
3.3499999052555296e-08,0.013570312157185
3.399999903841433e-08,0.0133531246626716
3.4499999024273365e-08,0.013765624652251
3.49999990101324e-08,0.0129203121736054
3.549999899599143e-08,0.012676562179763
3.5999998981850474e-08,0.0122421871907363
3.64999989677095e-08,0.012226562191131
3.6999998953568536e-08,0.0114874997098013
3.749999893942757e-08,0.0116281247062488
3.799999892528661e-08,0.0115203122089724
3.8499998911145645e-08,0.0113015622144985
3.899999889700467e-08,0.0105421872336819
3.9499998882863714e-08,0.0106453122310767
3.999999886872274e-08,0.0100968747449314
4.0499998854581776e-08,0.0101453122437078
4.0999998840440817e-08,0.0094109372622597
4.149999882629984e-08,0.0096640622558652
4.1999998812158885e-08,0.0096953122550758
4.249999879801791e-08,0.0095203122594966
4.2999998783876954e-08,0.0090890622703909
4.349999876973598e-08,0.0087328122793906
4.3999998755595016e-08,0.0082499997915874
4.4499998741454056e-08,0.0086421872816799
4.499999872731309e-08,0.0079703122986529
4.5499998713172125e-08,0.008032812297074
4.599999869903115e-08,0.0082062497926926
4.6499998684890194e-08,0.0080406247968767
4.699999867074922e-08,0.0074578123115998
4.7499998656608255e-08,0.0075937498081657
4.7999998642467296e-08,0.0071171873202047
4.8499998628326324e-08,0.0073156248151917
4.8999998614185365e-08,0.0066656248316121
4.949999860004439e-08,0.0068718748264018
4.9999998585903433e-08,0.0068031248281386
5.049999857176246e-08,0.0064328123374934
5.0999998557621495e-08,0.005931249850164
5.1499998543480536e-08,0.0064046873382039
5.199999852933957e-08,0.0059156248505587
5.24999985151986e-08,0.0059749998490588
5.299999850105763e-08,0.0055734373592031
5.3499998486916673e-08,0.0057234373554138
5.39999984727757e-08,0.0055578123595978
5.4499998458634735e-08,0.005401562363545
5.4999998444493776e-08,0.005123437370571
5.5499998430352804e-08,0.0051281248704526
5.5999998416211845e-08,0.0048546873773602
5.649999840207087e-08,0.0050749998717947
5.699999838792991e-08,0.0047390623802812
5.749999837378895e-08,0.0047249998806364
5.7999998359647975e-08,0.0044687498871098
5.8499998345507016e-08,0.0045031248862414
5.899999833136605e-08,0.0045578123848599
5.9499998317225085e-08,0.004424999888215
5.999999830308411e-08,0.0041578123949648
6.049999828894316e-08,0.0043734373895176
6.099999827480218e-08,0.004004687398833
6.149999826066121e-08,0.0039562499000567
6.199999824652025e-08,0.0039015624014382
6.249999823237928e-08,0.0038796874019908
6.299999821823833e-08,0.0038812499019513
6.349999820409735e-08,0.0037109374062538
6.39999981899564e-08,0.0035531249102405
6.449999817581542e-08,0.0036265624083853
6.499999816167445e-08,0.003442187413043
6.549999814753349e-08,0.0032640624175428
6.599999813339252e-08,0.003217187418727
6.649999811925157e-08,0.003359374915135
6.699999810511059e-08,0.0031734374198322
6.749999809096964e-08,0.0031562499202664
6.799999807682866e-08,0.0030093749239767
